2.580,-1.499,0.053,-2.749,-0.164,-2.113,-0.082,-1.648
2.600,-1.500,0.010,-2.750,-0.069,-2.127,-0.035,-1.603
2.620,-1.499,-0.033,-2.750,0.025,-2.129,0.013,-1.559
2.640,-1.497,-0.075,-2.749,0.120,-2.121,0.060,-1.514
2.660,-1.493,-0.117,-2.746,0.214,-2.102,0.107,-1.469
2.680,-1.487,-0.159,-2.743,0.308,-2.073,0.154,-1.423
2.700,-1.479,-0.199,-2.739,0.402,-2.033,0.201,-1.376
2.720,-1.469,-0.239,-2.734,0.495,-1.982,0.247,-1.326
2.740,-1.457,-0.277,-2.728,0.587,-1.922,0.294,-1.274
2.760,-1.443,-0.314,-2.722,0.679,-1.852,0.340,-1.219
2.780,-1.428,-0.350,-2.714,0.770,-1.773,0.385,-1.161
2.800,-1.411,-0.383,-2.705,0.860,-1.685,0.430,-1.099
2.820,-1.392,-0.415,-2.696,0.949,-1.589,0.474,-1.032
2.840,-1.371,-0.445,-2.686,1.037,-1.484,0.518,-0.961
2.860,-1.349,-0.472,-2.674,1.123,-1.372,0.561,-0.885
2.880,-1.324,-0.497,-2.662,1.208,-1.253,0.604,-0.804
2.900,-1.299,-0.520,-2.649,1.291,-1.127,0.646,-0.718
2.920,-1.271,-0.540,-2.636,1.373,-0.996,0.687,-0.628
2.940,-1.242,-0.557,-2.621,1.453,-0.860,0.727,-0.535
2.960,-1.211,-0.572,-2.606,1.532,-0.720,0.766,-0.440
2.980,-1.179,-0.583,-2.590,1.608,-0.576,0.804,-0.344
3.000,-1.146,-0.592,-2.573,1.682,-0.429,0.841,-0.250
3.020,-1.111,-0.597,-2.555,1.754,-0.280,0.877,-0.158
3.040,-1.074,-0.600,-2.537,1.824,-0.130,0.912,-0.071
3.060,-1.033,-0.599,-2.517,2.046,0.030,1.023,0.014
3.080,-0.991,-0.595,-2.495,2.122,0.206,1.061,0.097
3.100,-0.947,-0.587,-2.473,2.195,0.381,1.097,0.172
3.120,-0.902,-0.576,-2.451,2.265,0.553,1.132,0.240
3.140,-0.855,-0.562,-2.427,2.331,0.723,1.165,0.301
3.160,-0.807,-0.544,-2.404,2.394,0.888,1.197,0.355
3.180,-0.758,-0.523,-2.379,2.453,1.048,1.226,0.404
3.200,-0.708,-0.499,-2.354,2.509,1.201,1.254,0.447
3.220,-0.657,-0.472,-2.328,2.561,1.348,1.280,0.485
3.240,-0.604,-0.443,-2.302,2.609,1.487,1.304,0.518
3.260,-0.551,-0.410,-2.276,2.653,1.617,1.327,0.547
3.280,-0.497,-0.375,-2.249,2.694,1.737,1.347,0.573
3.300,-0.443,-0.338,-2.221,2.730,1.848,1.365,0.595
3.320,-0.388,-0.300,-2.194,2.763,1.947,1.381,0.614
3.340,-0.332,-0.259,-2.166,2.791,2.035,1.396,0.630
3.360,-0.275,-0.217,-2.138,2.816,2.111,1.408,0.643
3.380,-0.219,-0.173,-2.109,2.836,2.175,1.418,0.654
3.400,-0.162,-0.129,-2.081,2.852,2.226,1.426,0.663
3.420,-0.104,-0.083,-2.052,2.864,2.264,1.432,0.669
3.440,-0.047,-0.038,-2.023,2.872,2.288,1.436,0.673
3.460,0.011,0.008,-1.995,2.875,2.299,1.438,0.675
3.480,0.068,0.054,-1.966,2.870,2.293,1.435,0.674
3.500,0.125,0.099,-1.938,2.841,2.258,1.420,0.672
3.520,0.181,0.144,-1.910,2.808,2.210,1.404,0.667
3.540,0.236,0.187,-1.882,2.771,2.152,1.386,0.660
3.560,0.291,0.228,-1.855,2.731,2.082,1.366,0.651
3.580,0.345,0.268,-1.828,2.689,2.003,1.344,0.640
3.600,0.398,0.307,-1.801,2.644,1.915,1.322,0.627
3.620,0.450,0.343,-1.775,2.596,1.819,1.298,0.611
3.640,0.500,0.377,-1.750,2.546,1.716,1.273,0.593
3.660,0.550,0.410,-1.725,2.494,1.607,1.247,0.572
3.680,0.599,0.440,-1.700,2.459,1.504,1.230,0.549
3.700,0.648,0.467,-1.676,2.421,1.393,1.211,0.522
3.720,0.696,0.493,-1.652,2.380,1.275,1.190,0.492
3.740,0.742,0.516,-1.629,2.337,1.151,1.168,0.458
3.760,0.788,0.536,-1.606,2.290,1.021,1.145,0.419
3.780,0.833,0.554,-1.584,2.240,0.886,1.120,0.377
3.800,0.877,0.569,-1.562,2.188,0.746,1.094,0.329
3.820,0.919,0.581,-1.540,2.132,0.603,1.066,0.276
